Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,61445,-,-,-,31.33,-106.86,-6,1210,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,0,70,987,-3.2,0.32,2.2,34.71,11.9,876,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,69,975,-3.2,0.32,2.2,34.48,12,876,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,0,66,956,-2.8,0.32,2.3,35.39,12.1,875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,63,929,-2.8,0.32,2,35.86,11.9,875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,0,59,889,-2.3,0.32,1.7,37.78,11.6,875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,53,826,-2.3,0.32,1.2,40.91,10.4,875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,0,46,733,-1.1,0.32,0.6,48.55,9.2,875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,36,582,-1.1,0.32,0.6,48.55,9.2,875,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,0,19,261,-2,0.33,1.3,57.49,5.7,876,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,-2,0.33,1.4,61.2,4.8,876,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,0,0,0,-2.6,0.33,1.5,62.72,3.9,876,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,-2.6,0.33,1.8,65.5,3.3,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,0,0,0,-3.3,0.33,2,64.59,2.7,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,-3.3,0.33,2.4,67.4,2.1,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,0,0,0,-4.1,0.33,2.8,66.25,1.5,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,-4.1,0.33,3.1,69.66,0.8,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,0,0,0,-4.7,0.33,3.4,70.26,0.1,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,-4.7,0.33,3.6,73.93,-0.6,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,0,0,0,-5,0.33,3.8,75.94,-1.3,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,-5,0.33,4,78.78,-1.8,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,0,0,0,-5.3,0.33,4.1,80.7,-2.4,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,-5.3,0.33,4.1,83.13,-2.8,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,0,0,0,-5.6,0.33,4,84.33,-3.3,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,-5.6,0.33,4,85.6,-3.5,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,0,0,0,-5.8,0.33,4,85.8,-3.8,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,-5.8,0.33,4,87.09,-4,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,0,0,0,-6.1,0.33,4,85.95,-4.1,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,-6.1,0.33,4,86.6,-4.2,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,0,0,0,-6.4,0.33,4,85.32,-4.3,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,-6.4,0.33,3.9,86.62,-4.5,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,0,0,0,-6.7,0.33,3.9,85.43,-4.6,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,-6.7,0.33,3.9,85.43,-4.6,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,0,0,0,-6.9,0.33,3.9,84.25,-4.6,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,-6.9,0.33,4,83.62,-4.5,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,0,0,0,-7,0.33,4.2,81.75,-4.3,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,0,0,-7,0.33,4.7,79.93,-4,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,0,3,18,-7,0.33,5.2,77.57,-3.6,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,27,299,-7,0.33,5.9,72.55,-2.7,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,0,46,545,-6.5,0.33,6.6,70.69,-1.9,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,59,691,-6.5,0.33,6.6,65.69,-0.9,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,0,71,735,-5.7,0.33,6.6,64.95,0.1,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,73,841,-5.7,0.33,6.1,60.87,1,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,0,77,886,-5.2,0.33,5.7,59.94,1.8,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,82,909,-5.2,0.33,4.7,57.03,2.5,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,0,125,748,-4.5,0.33,3.8,56.95,3.2,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,235,302,-4.5,0.33,2.6,54.92,3.7,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
